證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3576","聯合再生","10,107,580","103,119,316","10.40","10.45","10.10","10.15","-0.25","2,811"
"3579","尚志","9,997","15,689","1.57","1.57","1.57","1.57","-0.17","14"
"3583","辛耘","453,000","26,734,700","60.20","60.50","58.40","58.50","-1.70","340"
"3588","通嘉","34,002","735,242","21.70","21.85","21.55","21.65","-0.20","27"
"3591","艾笛森","97,165","1,456,138","15.00","15.10","14.85","14.85"," 0.00","33"
"3593","力銘","19,004","146,918","7.64","7.99","7.63","7.70","-0.30","18"
"3596","智易","2,960,123","234,824,178","79.50","80.50","77.70","78.80","+0.20","2,159"
"3605","宏致","106,005","2,387,660","22.55","22.95","22.45","22.45","-0.15","88"
"3607","谷崧","177,002","2,980,982","17.10","17.50","16.50","16.60","-0.40","119"
"3617","碩天","175,098","16,562,749","96.00","96.00","93.20","94.50","+0.70","145"
"3622","洋華","111,049","1,822,347","16.50","16.60","16.35","16.35","-0.10","55"
"3645","達邁","1,017,201","48,888,551","49.30","49.70","47.20","47.35","-1.95","736"
"3653","健策","2,152,200","211,431,000","98.00","101.00","94.10","100.50","+3.00","1,636"
"3661","世芯-KY","2,664,452","204,652,620","79.60","80.20","75.20","75.60","-3.20","2,092"
"3665","貿聯-KY","3,367,456","658,741,552","206.00","206.50","188.00","190.50","-17.50","2,676"
"3669","圓展","14,000","231,900","16.75","16.75","16.50","16.50"," 0.00","14"
"3673","TPK-KY","2,409,423","118,433,821","50.20","50.50","48.75","48.75","-1.25","1,633"
"3679","新至陞","18,000","902,800","50.00","50.50","50.00","50.00"," 0.00","14"
"3682","亞太電","3,128,499","22,620,475","7.25","7.30","7.20","7.21"," 0.00","781"
"3686","達能","386,022","559,118","1.46","1.46","1.43","1.43","-0.04","47"
"3694","海華","120,000","2,358,000","20.30","20.30","19.30","19.60","-0.40","79"
"3698","隆達","2,261,853","31,422,192","14.10","14.25","13.65","14.00","-0.10","884"
"3701","大眾控","26,998","382,660","14.10","14.20","14.10","14.20","-0.05","32"
"3702","大聯大","1,704,303","66,701,547","39.25","39.45","38.90","39.15","+0.35","1,078"
"3703","欣陸","6,428,220","105,404,798","16.55","16.55","16.15","16.15","-0.40","1,785"
"3704","合勤控","14,101,966","300,775,498","21.25","22.05","20.50","22.05","+0.15","6,125"
"3705","永信","61,315","2,571,780","41.90","42.00","41.85","41.85","-0.05","44"
"3706","神達","983,076","28,994,323","29.60","29.75","29.35","29.40","-0.20","652"
"3708","上緯投控","5,211,360","491,486,106","91.40","97.00","91.00","95.20","+6.70","4,312"
"3711","日月光投控","8,651,497","561,359,846","65.60","65.60","64.40","64.50","-1.10","4,444"
"3712","永崴投控","490,934","10,255,967","21.25","21.30","20.70","20.85","-0.40","338"
"4104","佳醫","128,512","6,420,166","50.30","50.30","49.70","49.90","-0.20","118"
"4106","雃博","28,152","696,642","25.20","25.20","24.60","24.75","-0.10","24"
"4108","懷特","220,554","4,199,195","19.40","19.40","18.90","18.95","-0.45","154"
"4119","旭富","3,126,825","302,462,036","96.60","98.40","94.50","97.50","+2.60","2,341"
"4133","亞諾法","35,082","967,423","28.00","28.20","27.10","27.50","-0.65","36"
"4137","麗豐-KY","1,379,708","370,957,305","266.50","272.50","264.00","270.00","+5.00","1,245"
"4141","龍燈-KY","20,020","356,706","17.75","18.05","17.70","17.90","+0.05","19"
"4142","國光生","1,722,471","35,020,312","20.50","20.60","20.00","20.20","-0.20","737"
"4144","康聯-KY","535,162","15,699,005","28.80","29.80","28.80","28.90","+0.30","352"
"4148","全宇生技-KY","54,057","2,710,960","49.90","50.50","49.90","50.10","+0.10","39"
"4155","訊映","48,255","1,353,691","28.00","28.20","27.90","28.20","+0.15","32"
"4164","承業醫","161,133","6,255,755","39.05","39.15","38.55","38.60","-0.45","127"
"4190","佐登-KY","189,200","18,291,500","98.00","98.30","95.60","96.30","-0.70","170"
"4306","炎洲","578,527","7,431,437","12.75","13.05","12.70","12.70"," 0.00","275"
"4414","如興","1,620,224","22,431,316","13.90","14.00","13.65","13.70","-0.05","675"
"4426","利勤","3,790,412","239,073,581","65.00","66.10","60.50","65.50","+1.20","2,748"
"4438","廣越","180,775","28,984,225","163.00","163.00","159.00","159.00","-2.50","151"
"4526","東台","121,500","2,220,397","18.60","18.60","18.20","18.40","-0.05","62"
"4532","瑞智","251,549","6,287,577","25.00","25.10","24.85","25.00"," 0.00","130"
"4536","拓凱","135,000","18,867,000","142.00","142.00","137.00","141.00","+1.00","118"
"4540","全球傳動","469,115","29,771,216","65.00","65.40","62.60","63.00","-1.40","364"
"4545","銘鈺","8,000","195,850","24.90","24.90","23.95","24.30"," 0.00","7"
"4551","智伸科","134,000","13,331,700","99.00","101.00","98.20","101.00","+2.90","116"
"4552","力達-KY","160,550","8,039,254","49.80","50.70","49.75","49.80","-0.30","109"
"4555","氣立","2,000","118,200","59.30","59.30","58.90","58.90","-0.40","2"
"4557","永新-KY","41,001","2,945,372","72.10","72.10","71.30","71.60","-0.50","25"
"4560","強信-KY","242,000","13,157,600","54.50","54.70","54.00","54.40","+0.20","129"
"4562","穎漢","4,000","136,650","34.20","34.25","34.10","34.10","+0.15","4"
"4564","元翎","1,874,346","113,886,833","61.80","62.30","60.00","60.50","-1.80","1,143"
"4566","時碩工業","2,014,000","81,203,850","41.75","43.15","41.45","42.00"," 0.00","80"
"4720","德淵","45,000","602,250","13.45","13.45","13.30","13.40"," 0.00","12"
"4722","國精化","42,000","1,220,500","28.90","29.20","28.90","29.00","-0.10","20"
"4725","信昌化","1,406,000","25,829,550","18.60","18.75","18.10","18.35","-0.45","621"
"4737","華廣","4,095","209,507","51.90","51.90","50.90","50.90","+1.00","5"
"4739","康普","728,946","51,890,413","70.30","72.50","70.30","71.80","-1.10","473"
"4746","台耀","208,300","7,718,950","37.60","37.70","36.65","37.00","-0.60","161"
"4755","三福化","7,000","316,150","45.00","45.30","45.00","45.20","+0.10","5"
"4763","材料-KY","406,000","60,791,000","149.00","152.50","147.00","148.00"," 0.00","319"
"4764","雙鍵","56,000","4,311,400","77.00","77.10","76.80","77.10","+0.20","43"
"4766","南寶","291,530","47,607,420","160.50","164.50","160.50","163.00"," 0.00","286"
"4807","日成-KY","70,110","2,419,613","34.55","35.05","34.10","34.60","+0.05","58"
"4904","遠傳","2,400,954","181,924,011","75.70","76.20","75.60","75.60"," 0.00","1,256"
"4906","正文","3,766,951","92,000,685","24.45","24.80","23.85","24.75","+0.50","2,224"
"4912","聯德控股-KY","81,000","9,743,000","119.50","122.50","118.00","120.00","+0.50","70"
"4915","致伸","2,302,000","120,272,400","51.60","52.80","51.50","52.30","+0.50","1,650"
"4916","事欣科","346,002","12,176,820","35.35","35.50","35.00","35.00","-0.35","194"
"4919","新唐","602,100","26,806,260","45.00","45.45","44.00","44.20","-0.80","400"
"4927","泰鼎-KY","8,827,508","431,047,042","50.10","50.30","47.70","48.75","-0.80","4,352"
"4930","燦星網","82,100","922,115","11.35","11.35","11.15","11.15","-0.15","40"
"4934","太極","1,127,001","5,097,754","4.51","4.60","4.44","4.57","+0.05","264"
"4935","茂林-KY","329,000","12,402,200","38.60","38.65","36.80","36.80","-1.80","147"
"4938","和碩","4,280,560","216,136,869","50.50","50.80","50.20","50.50","+0.55","2,442"
"4942","嘉彰","775,452","29,352,216","38.60","38.75","37.20","37.50","-1.05","457"
"4943","康控-KY","2,492,124","321,088,248","131.00","132.50","126.00","127.50","-4.50","2,096"
"4952","凌通","174,000","5,907,050","34.20","34.25","33.75","33.80","-0.45","122"
"4956","光鋐","141,208","2,034,502","14.55","14.60","14.35","14.35","-0.15","78"
"4958","臻鼎-KY","6,557,752","590,036,878","88.80","91.50","88.70","89.60","+1.80","4,516"
"4960","誠美材","7,330,982","60,012,231","8.95","8.95","7.92","8.21","-0.59","1,274"
"4961","天鈺","730,085","27,777,746","38.50","38.60","37.80","38.05","-0.30","460"
"4967","十銓","98,272","2,547,349","26.15","26.15","25.60","26.10"," 0.00","71"
"4968","立積","2,997,140","165,817,491","55.70","56.70","53.80","56.40","+1.90","2,005"
"4976","佳凌","378,005","11,582,710","30.65","31.00","30.40","30.65","+0.20","278"
"4977","眾達-KY","787,473","64,070,388","83.50","83.50","79.50","81.50","-1.30","591"
"4989","榮科","269,000","6,454,800","24.20","24.40","23.80","23.80","-0.50","181"
"4994","傳奇","147,024","11,229,505","78.30","78.30","75.10","75.60","-2.70","131"
"4999","鑫禾","124,370","5,362,269","43.70","43.70","42.90","43.20","-0.30","89"
"5007","三星","23,275","1,227,530","52.40","52.90","52.40","52.90","+0.50","24"
"5203","訊連","54,852","3,951,644","72.00","72.10","71.80","72.00"," 0.00","39"
